label,predicted,ground_truth,correct
коагулогических нарушений,Condition,Condition,True
лицевой скелет,AnatomicalStructure,AnatomicalStructure,True
отсутствие ремиссии,Condition,Condition,True
терапия высокими дозами метотрексата,DosageRegimen,DosageRegimen,True
системного остеопороза,Condition,Condition,True
полихимиотерапии,Procedure,Procedure,True
кожные лейкемиды,Condition,Organization,False
TNM,Other,Other,True
Hyper-CVAD/HMA,DosageRegimen,DosageRegimen,True
микробиологическое исследование,LabTest,LabTest,True
петехиальные высыпания,Symptom,Symptom,True
тромбоциты,LabTest,AnatomicalStructure,False
временной регламент,DosageRegimen,Other,False
подмышечная вена,AnatomicalStructure,AnatomicalStructure,True
клостридии,Other,Other,True
100мг/м2 в/в в 1–3‑й дни,DosageRegimen,DosageRegimen,True
яичники,AnatomicalStructure,AnatomicalStructure,True
BCL2/BCL6,Other,Other,True
аспирата КМ,Procedure,Procedure,True
стадирование опухолевого процесса,Procedure,Procedure,True
цефтазидим+авибактам,Drug,Drug,True
аваскулярный некроз (АВН),Condition,Condition,True
переполнение желудка,Symptom,Condition,False
профилактика осложнений специфической терапии,Procedure,Procedure,True
уровень убедительности рекомендаций,Other,Other,True
органов грудной и брюшной полостей,AnatomicalStructure,AnatomicalStructure,True
комбинированная терапия,DosageRegimen,Procedure,False
центральные вены,AnatomicalStructure,AnatomicalStructure,True
психологическая реабилитация,Procedure,Procedure,True
нестероидные противовоспалительные средства,Drug,Drug,True
некротическая ткань,AnatomicalStructure,AnatomicalStructure,True
микробиологическое (культуральное) исследование отделяемого полости рта,LabTest,LabTest,True
лимфатическая система,AnatomicalStructure,AnatomicalStructure,True
меркаптопурина,Drug,Drug,True
NUP,Other,Other,True
консолидации,Procedure,Other,False
дни 3-10,DosageRegimen,DosageRegimen,True
миелотоксические дозы,DosageRegimen,DosageRegimen,True
нефракционированным гепарином,Drug,Drug,True
патолого-анатомическое исследование биопсийного материала,LabTest,LabTest,True
123I,Drug,Drug,True
плод,AnatomicalStructure,AnatomicalStructure,True
кровотечения,Symptom,Symptom,True
врачом-гематологом,Other,Other,True
Беркитт-подобными вариантами,Condition,Condition,True
B-лимфоцитов,AnatomicalStructure,AnatomicalStructure,True
Лихорадка неясной этиологии,Condition,Condition,True
экстрамедуллярный рецидив ОМЛ,Condition,Condition,True
лимфобласты,AnatomicalStructure,AnatomicalStructure,True
КТ,Procedure,Procedure,True
HbsAg,LabTest,LabTest,True
лабораторные исследования,LabTest,LabTest,True
ЦМВ,Condition,Condition,True
нейролейкемии,Condition,Condition,True
пациенты младше 18 лет,Other,Other,True
36 Гр,DosageRegimen,DosageRegimen,True
исследование уровня адренокортикотропного гормона в крови,LabTest,LabTest,True
химотерапия,Procedure,Procedure,True
группа высокого риска,Other,Other,True
ФН,Condition,Condition,True
